,symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName,country,isEtf,isFund,isActivelyTrading
134,IQV,IQVIA Holdings Inc.,46680675545,Healthcare,Diagnostics & Research,1.508,256.4675,0.0,158834,New York Stock Exchange,NYSE,US,False,False,True
135,GM,General Motors Company,45738516600,Consumer Cyclical,Auto Manufacturers,1.5,39.62,0.48,3126286,New York Stock Exchange,NYSE,US,False,False,True
136,O,Realty Income Corporation,45729990020,Real Estate,REIT—Retail,0.925,53.105,3.08,1181635,New York Stock Exchange,NYSE,US,False,False,True
137,SRE,Sempra,45242975500,Utilities,Utilities—Diversified,0.714,71.57,2.48,673209,New York Stock Exchange,NYSE,US,False,False,True
138,LEN,Lennar Corporation,45090073276,Consumer Cyclical,Residential Construction,1.52,163.37,2.0,663856,New York Stock Exchange,NYSE,US,False,False,True
139,OKE,"ONEOK, Inc.",44932400950,Energy,Oil & Gas Midstream,1.61,77.05,3.96,322008,New York Stock Exchange,NYSE,US,False,False,True
140,HES,Hess Corporation,44755117920,Energy,Oil & Gas E&P,1.276,145.71,1.75,465500,New York Stock Exchange,NYSE,US,False,False,True
141,URI,"United Rentals, Inc.",44466728964,Industrials,Rental & Leasing Services,1.839,661.79,6.52,220283,New York Stock Exchange,NYSE,US,False,False,True
142,WMB,"The Williams Companies, Inc.",43930758750,Energy,Oil & Gas Midstream,1.065,36.105,1.9,1690000,New York Stock Exchange,NYSE,US,False,False,True
143,NUE,Nucor Corporation,43803552750,Basic Materials,Steel,1.617,181.95,2.16,329796,New York Stock Exchange,NYSE,US,False,False,True
144,MSCI,MSCI Inc.,43754042752,Financial Services,Financial Data & Stock Exchanges,1.066,553.21,6.4,57168,New York Stock Exchange,NYSE,US,False,False,True
145,A,"Agilent Technologies, Inc.",43193376450,Healthcare,Diagnostics & Research,1.107,147.39,0.94,347376,New York Stock Exchange,NYSE,US,False,False,True
146,KMB,Kimberly-Clark Corporation,42457364490,Consumer Defensive,Household & Personal Products,0.412,126.03,4.88,247426,New York Stock Exchange,NYSE,US,False,False,True
147,AMP,"Ameriprise Financial, Inc.",42069476180,Financial Services,Asset Management,1.466227,409.93,5.4,61068,New York Stock Exchange,NYSE,US,False,False,True
148,BK,The Bank of New York Mellon Corporation,41644922400,Financial Services,Asset Management,1.102,55.2,1.68,702744,New York Stock Exchange,NYSE,US,False,False,True
149,ALL,The Allstate Corporation,41527756620,Financial Services,Insurance—Property & Casualty,0.509,157.86,3.68,315006,New York Stock Exchange,NYSE,US,False,False,True
150,AME,"AMETEK, Inc.",41373273235,Industrials,Specialty Industrial Machinery,1.222,179.095,1.12,126412,New York Stock Exchange,NYSE,US,False,False,True
151,CNC,Centene Corporation,41334212640,Healthcare,Healthcare Plans,0.379,77.28,0.0,578284,New York Stock Exchange,NYSE,US,False,False,True
152,HUM,Humana Inc.,41328478620,Healthcare,Healthcare Plans,0.453,342.54,3.54,296183,New York Stock Exchange,NYSE,US,False,False,True
153,MPLX,MPLX LP,40893731200,Energy,Oil & Gas Midstream,1.335,40.46,3.4,332221,New York Stock Exchange,NYSE,US,False,False,True
154,LHX,"L3Harris Technologies, Inc.",40750258615,Industrials,Aerospace & Defense,0.651,214.3735,4.64,143353,New York Stock Exchange,NYSE,US,False,False,True
155,NEM,Newmont Corporation,40442979500,Basic Materials,Gold,0.498,35.09,1.0,6203151,New York Stock Exchange,NYSE,US,False,False,True
156,HSY,The Hershey Company,40282206965,Consumer Defensive,Confectioners,0.339,197.51,5.48,634646,New York Stock Exchange,NYSE,US,False,False,True
157,DOW,Dow Inc.,39995867267,Basic Materials,Chemicals,1.305,56.9504,2.8,830941,New York Stock Exchange,NYSE,US,False,False,True
158,D,"Dominion Energy, Inc.",39962779960,Utilities,Utilities—Regulated Electric,0.608,47.72,2.67,936023,New York Stock Exchange,NYSE,US,False,False,True
159,SYY,Sysco Corporation,39833867450,Consumer Defensive,Food Distribution,1.151,80.015,2.0,426866,New York Stock Exchange,NYSE,US,False,False,True
160,PRU,"Prudential Financial, Inc.",39823870000,Financial Services,Insurance—Life,1.358,110.93,5.2,209847,New York Stock Exchange,NYSE,US,False,False,True
161,FIS,"Fidelity National Information Services, Inc.",39799212640,Technology,Information Technology Services,0.972,69.04,1.92,614016,New York Stock Exchange,NYSE,US,False,False,True
162,KR,The Kroger Co.,39586250575,Consumer Defensive,Grocery Stores,0.461,55.025,1.16,1932112,New York Stock Exchange,NYSE,US,False,False,True
163,KMI,"Kinder Morgan, Inc.",39549173400,Energy,Oil & Gas Midstream,0.882,17.82,1.13,2898797,New York Stock Exchange,NYSE,US,False,False,True
164,LVS,Las Vegas Sands Corp.,39542493870,Consumer Cyclical,Resorts & Casinos,1.177,52.47,0.6,743145,New York Stock Exchange,NYSE,US,False,False,True
165,YUM,"Yum! Brands, Inc.",39259032120,Consumer Cyclical,Restaurants,1.1,139.545,2.68,239116,New York Stock Exchange,NYSE,US,False,False,True
166,OTIS,Otis Worldwide Corporation,38958143675,Industrials,Specialty Industrial Machinery,0.907,96.085,1.36,543969,New York Stock Exchange,NYSE,US,False,False,True
